Bus,Voltage Magnitude,Voltage Angle (radians)
0,1.0,0.0
1,0.9970322595716009,0.0
2,0.9829379827480893,0.0
3,0.9754564122526251,0.0
4,0.9680592310645786,0.0
5,0.9496581753182659,0.0
6,0.9461726112082207,0.0
7,0.9413284346635891,0.0
8,0.9350593692582908,0.0
9,0.9292444193346489,0.0
10,0.9283844138565085,0.0
11,0.9268848333483907,0.0
12,0.9207717437109197,0.0
13,0.9185049887306453,0.0
14,0.9170926759080891,0.0
15,0.9157247556834422,0.0
16,0.9136975413804679,0.0
17,0.9130904745013674,0.0
18,0.9965038952531792,0.0
19,0.9929262971766141,0.0
20,0.9922217931711211,0.0
21,0.9915843741667899,0.0
22,0.9793522566611984,0.0
23,0.9726811002500111,0.0
24,0.9693561117181431,0.0
25,0.9477289080066096,0.0
26,0.9451651620419357,0.0
27,0.9337255784387964,0.0
28,0.9255074757020276,0.0
29,0.9219500551379127,0.0
30,0.9177888841685876,0.0
31,0.916873462757336,0.0
32,0.9165898191218096,0.0
